Interaction,Source_Name,Target_Name,Source_Rank,Target_Rank,ID,Source_Life_Stage,Target_Life_Stage
Aeshnidae Aeshnidae,Aeshnidae,Aeshnidae,Family,Family,1,Young,Young
Aeshnidae Annelida,Aeshnidae,Annelida,Family,Feeding guild,81,Young,Young and Adult
Aeshnidae Arrenuridae,Aeshnidae,Arrenuridae,Family,Family,48,Young,Young
Aeshnidae Calliphoridae,Aeshnidae,Calliphoridae,Family,Family,1,,
Aeshnidae Candonidae,Aeshnidae,Candonidae,Family,Family,51,Young,
Aeshnidae Cantharidae,Aeshnidae,Cantharidae,Family,Family,1,,
Aeshnidae Cecidomyiidae,Aeshnidae,Cecidomyiidae,Family,Family,1,,
Aeshnidae Ceratopogonidae,Aeshnidae,Ceratopogonidae,Family,Family,1,,
Aeshnidae Chironomidae,Aeshnidae,Chironomidae,Family,Family,1,Young,Young
Aeshnidae Chloropidae,Aeshnidae,Chloropidae,Family,Family,1,,
Aeshnidae Chrysomelidae,Aeshnidae,Chrysomelidae,Family,Family,1,,
Aeshnidae Coenagrionidae,Aeshnidae,Coenagrionidae,Family,Family,1,Young,Young
Aeshnidae Culicidae,Aeshnidae,Culicidae,Family,Family,1,,
Aeshnidae Curculionidae,Aeshnidae,Curculionidae,Family,Family,1,,
Aeshnidae Cyprididae,Aeshnidae,Cyprididae,Family,Family,51,Young,
Aeshnidae Dolichopodidae,Aeshnidae,Dolichopodidae,Family,Family,1,,
Aeshnidae Drosophilidae,Aeshnidae,Drosophilidae,Family,Family,1,,
Aeshnidae Dytiscidae,Aeshnidae,Dytiscidae,Family,Family,1,Young and Adult,Young and Adult
Aeshnidae Elateridae,Aeshnidae,Elateridae,Family,Family,1,,
Aeshnidae Empididae,Aeshnidae,Empididae,Family,Family,1,,
Aeshnidae Ephydridae,Aeshnidae,Ephydridae,Family,Family,1,,
Aeshnidae Gammaridae,Aeshnidae,Gammaridae,Family,Family,1,,
Aeshnidae Haliplidae,Aeshnidae,Haliplidae,Family,Family,1,,
Aeshnidae Hepialidae,Aeshnidae,Hepialidae,Family,Family,70,Adult,Adult
Aeshnidae Hybotidae,Aeshnidae,Hybotidae,Family,Family,1,,
Aeshnidae Lauxaniidae,Aeshnidae,Lauxaniidae,Family,Family,76,Adult,
Aeshnidae Libellulidae,Aeshnidae,Libellulidae,Family,Family,1,Young,Young
Aeshnidae Limnephilidae,Aeshnidae,Limnephilidae,Family,Family,1,Young,Young
Aeshnidae Limoniidae,Aeshnidae,Limoniidae,Family,Family,1,,
Aeshnidae Lonchopteridae,Aeshnidae,Lonchopteridae,Family,Family,79,Adult,Adult
Aeshnidae Lymnaeidae,Aeshnidae,Lymnaeidae,Family,Family,1,,
Aeshnidae Muscidae,Aeshnidae,Muscidae,Family,Family,1,,
Aeshnidae Noctuidae,Aeshnidae,Noctuidae,Family,Family,1,,
Aeshnidae Notonectidae,Aeshnidae,Notonectidae,Family,Family,1,Young and Adult,Young and Adult
Aeshnidae Phoridae,Aeshnidae,Phoridae,Family,Family,1,,
Aeshnidae Psychodidae,Aeshnidae,Psychodidae,Family,Family,1,Adult,Adult
Aeshnidae Sarcophagidae,Aeshnidae,Sarcophagidae,Family,Family,1,,
Aeshnidae Sciaridae,Aeshnidae,Sciaridae,Family,Family,1,,
Aeshnidae Sciomyzidae,Aeshnidae,Sciomyzidae,Family,Family,1,,
Aeshnidae Sialidae,Aeshnidae,Sialidae,Family,Family,1,Young,Young
Aeshnidae Syrphidae,Aeshnidae,Syrphidae,Family,Family,1,,
Agromyzidae Agromyzidae,Agromyzidae,Agromyzidae,Family,Family,1,,
Agromyzidae Plants,Agromyzidae,Plants,Family,Feeding guild,2,Young,
Agromyzidae Tephritidae,Agromyzidae,Tephritidae,Family,Family,1,,
Ameroseiidae Plants,Ameroseiidae,Plants,Family,Feeding guild,3,Young and Adult,
Annelida Algae,Annelida,Algae,Feeding guild,Feeding guild,16,Young and Adult,
Annelida Aquatic detritus,Annelida,Aquatic detritus,Feeding guild,Feeding guild,16; 28; 30,Young and Adult,
Annelida Chironomidae,Annelida,Chironomidae,Feeding guild,Family,18,Adult,
Annelida Fungi,Annelida,Fungi,Feeding guild,Feeding guild,16,Young and Adult,
Annelida Terrestrial detritus,Annelida,Terrestrial detritus,Feeding guild,Feeding guild,2; 27; 29,Young and Adult,
Anthomyiidae Annelida,Anthomyiidae,Annelida,Family,Feeding guild,2,Young,Young
Anthomyiidae Baetidae,Anthomyiidae,Baetidae,Family,Family,2,Young,Young
Anthomyiidae Caenidae,Anthomyiidae,Caenidae,Family,Family,2,Young,Young
Anthomyiidae Capniidae,Anthomyiidae,Capniidae,Family,Family,2,Young,Young
Anthomyiidae Chironomidae,Anthomyiidae,Chironomidae,Family,Family,2,Young,Young
Anthomyiidae Chrysomelidae,Anthomyiidae,Chrysomelidae,Family,Family,2,Young,Young
Anthomyiidae Culicidae,Anthomyiidae,Culicidae,Family,Family,2,Young,Young
Anthomyiidae Curculionidae,Anthomyiidae,Curculionidae,Family,Family,2,Young,Young
Anthomyiidae Dixidae,Anthomyiidae,Dixidae,Family,Family,2,Young,Young
Anthomyiidae Dryopidae,Anthomyiidae,Dryopidae,Family,Family,2,Young,Young
Anthomyiidae Elmidae,Anthomyiidae,Elmidae,Family,Family,2,Young,Young
Anthomyiidae Ephemeridae,Anthomyiidae,Ephemeridae,Family,Family,2,Young,Young
Anthomyiidae Ephydridae,Anthomyiidae,Ephydridae,Family,Family,2,Young,Young
Anthomyiidae Gammaridae,Anthomyiidae,Gammaridae,Family,Family,2,Young,Young
Anthomyiidae Haliplidae,Anthomyiidae,Haliplidae,Family,Family,2,Young,Young
Anthomyiidae Heptageniidae,Anthomyiidae,Heptageniidae,Family,Family,2,Young,Young
Anthomyiidae Hydrophilidae,Anthomyiidae,Hydrophilidae,Family,Family,2,Young,Young
Anthomyiidae Lepidostomatidae,Anthomyiidae,Lepidostomatidae,Family,Family,2,Young,Young
Anthomyiidae Leuctridae,Anthomyiidae,Leuctridae,Family,Family,2,Young,Young
Anthomyiidae Limnephilidae,Anthomyiidae,Limnephilidae,Family,Family,2,Young,Young
Anthomyiidae Limoniidae,Anthomyiidae,Limoniidae,Family,Family,2,Young,Young
Anthomyiidae Lymnaeidae,Anthomyiidae,Lymnaeidae,Family,Family,2,Young,Young
Anthomyiidae Nemouridae,Anthomyiidae,Nemouridae,Family,Family,2,Young,Young
