"","Interaction","Source_Name","Target_Name","Source_Rank","Target_Rank","fg"
"1","Aeshnidae Aeshnidae","Aeshnidae","Aeshnidae","Family","Family","Predator"
"2","Aeshnidae Arrenuridae","Aeshnidae","Arrenuridae","Family","Family","Predator"
"3","Aeshnidae Calliphoridae","Aeshnidae","Calliphoridae","Family","Family","Predator"
"4","Aeshnidae Candonidae","Aeshnidae","Candonidae","Family","Family","Predator"
"5","Aeshnidae Cantharidae","Aeshnidae","Cantharidae","Family","Family","Predator"
"6","Aeshnidae Cecidomyiidae","Aeshnidae","Cecidomyiidae","Family","Family","Predator"
"7","Aeshnidae Ceratopogonidae","Aeshnidae","Ceratopogonidae","Family","Family","Predator"
"8","Aeshnidae Chironomidae","Aeshnidae","Chironomidae","Family","Family","Predator"
"9","Aeshnidae Chloropidae","Aeshnidae","Chloropidae","Family","Family","Predator"
"10","Aeshnidae Chrysomelidae","Aeshnidae","Chrysomelidae","Family","Family","Predator"
"11","Aeshnidae Coenagrionidae","Aeshnidae","Coenagrionidae","Family","Family","Predator"
"12","Aeshnidae Culicidae","Aeshnidae","Culicidae","Family","Family","Predator"
"13","Aeshnidae Curculionidae","Aeshnidae","Curculionidae","Family","Family","Predator"
"14","Aeshnidae Cyprididae","Aeshnidae","Cyprididae","Family","Family","Predator"
"15","Aeshnidae Dolichopodidae","Aeshnidae","Dolichopodidae","Family","Family","Predator"
"16","Aeshnidae Drosophilidae","Aeshnidae","Drosophilidae","Family","Family","Predator"
"17","Aeshnidae Dytiscidae","Aeshnidae","Dytiscidae","Family","Family","Predator"
"18","Aeshnidae Elateridae","Aeshnidae","Elateridae","Family","Family","Predator"
"19","Aeshnidae Empididae","Aeshnidae","Empididae","Family","Family","Predator"
"20","Aeshnidae Ephydridae","Aeshnidae","Ephydridae","Family","Family","Predator"
"21","Aeshnidae Gammaridae","Aeshnidae","Gammaridae","Family","Family","Predator"
"22","Aeshnidae Haliplidae","Aeshnidae","Haliplidae","Family","Family","Predator"
"23","Aeshnidae Hepialidae","Aeshnidae","Hepialidae","Family","Family","Predator"
