taxa,Phylum,Class,Order,Family,Genus,Species
Mesaphorura macrochaeta,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Mesaphorura,Mesaphorura macrochaeta
Octolasion tyrtaeum,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion tyrtaeum
Cypridopsis vidua,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,Cypridopsis vidua
Aporrectodea limicola,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea limicola
Buchholzia appendiculata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
Psectrocladius schlienzi,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius schlienzi
Achaeta danica,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta danica
Fridericia paroniana,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
Aporrectodea rosea,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea rosea
Eukiefferiella claripennis,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella claripennis
Caenis horaria,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis horaria
Tanytarsus pallidicornis,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus pallidicornis
Aporrectodea sp.,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA
Cricotopus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,NA
Daphnia curvirostris,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Daphnia curvirostris
Ceriodaphnia quadrangula,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia quadrangula
Dendrobaena attemsi,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena attemsi
Chironomus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
Fridericia ratzeli,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia ratzeli
Thienemanniella sp.,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,NA
Eurycercus lamellatus,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus,Eurycercus lamellatus
Chironomus dorsalis,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus dorsalis
Corynoneura scutellata,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura scutellata
Simocephalus exspinosus,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,Simocephalus exspinosus
unclassified_Chironomidae sp.,Arthropoda,Insecta,Diptera,Chironomidae,unclassified_Chironomidae,NA
Chymomyza amoena,Arthropoda,Insecta,Diptera,Drosophilidae,Chymomyza,Chymomyza amoena
Thienemanniella majuscula,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella majuscula
Tvetenia calvescens,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia calvescens
Chironomus nuditarsis,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus nuditarsis
Corynoneura sp.,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,NA
Suillia pallida,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia pallida
Pseudolyciella pallidiventris,Arthropoda,Insecta,Diptera,Lauxaniidae,Pseudolyciella,Pseudolyciella pallidiventris
unclassified_Drosophilidae sp.,Arthropoda,Insecta,Diptera,Drosophilidae,unclassified_Drosophilidae,NA
Paratrichocladius rufiventris,Arthropoda,Insecta,Diptera,Chironomidae,Paratrichocladius,Paratrichocladius rufiventris
Bryophaenocladius terrestris,Arthropoda,Insecta,Diptera,Chironomidae,Bryophaenocladius,Bryophaenocladius terrestris
Fridericia tuberosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia tuberosa
Octolasion cyaneum,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum
Fridericia sp.,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
